"director";"title";"country";"description";"release_year";"duration";"listed_in";"cast"
"Zoya Akhtar";"Luck by Chance";"India";"When Vikram gets tapped to play the male lead in a Bollywood film, he can't believe his luck. But it may ruin his relationship with his girlfriend.";2009;156;"Dramas, International Movies, Romantic Movies";"Farhan Akhtar, Konkona Sen Sharma, Rishi Kapoor, Dimple Kapadia, Isha Sharvani, Sanjay Kapoor, Juhi Chawla, Hrithik Roshan, Alyy Khan, Sheeba Chaddha"
"Radhika Rao, Vinay Sapru";"Lucky: No Time for Love";"India";"During an uprising in Russia's St. Petersburg, teen girl Lucky meets handsome Aditya, the Indian ambassador's son, and together they flee the chaos.";2005;131;"Dramas, International Movies, Romantic Movies";"Salman Khan, Sneha Ullal, Mithun Chakraborty, Kader Khan, Navni Parihar, Ravi Baswani, Vikram Gokhale, Mumait Khan"
"Zoya Akhtar, Karan Johar, Anurag Kashyap, Dibakar Banerjee";"Lust Stories";"India";"In the companion to 2013's ""Bombay Talkies,"" four short films by four of India's biggest directors explore love, sex and relationships in modern India.";2018;121;"Comedies, Dramas, International Movies";"Vicky Kaushal, Bhumi Pednekar, Radhika Apte, Neha Dhupia, Manisha Koirala, Akash Thosar, Randeep Jha, Neil Bhoopalam, Jaideep Ahlawat, Sanjay Kapoor, Kiara Advani"
"Callie Khouri, Jesse V. Johnson";"Mad Money";"United States";"A woman joins the janitorial staff of the Federal Reserve Bank and conspires with two co-workers to pilfer old money that's scheduled to be destroyed.";2008;99;"Comedies";"Diane Keaton, Queen Latifah, Katie Holmes, Ted Danson, Roger Cross, Adam Rothenberg, Stephen Root, Christopher McDonald, Meagen Fay, J.C. MacKenzie, Finesse Mitchell, Eric Keenleyside"
"Amarjit Virdi";"Maharaja: The Story of Ranjit Singh";NA;"The tale of legendary warrior king Ranjit Singh, and his rise to establishing Punjab’s Sikh empire, comes to life in this animated feature.";2010;56;"Dramas, International Movies";"Gurpreet Guggi, Rocky Bhardwaj, Brijesh Ahuja, Gick Grewal, Inderjit Grewal, Lekhraj Thakur"
"Li Pei-Chuan";"Mahjong Heroes";"Hong Kong";"In this comedy, characters from all walks of life go head-to-head around the mahjong table in a high-stakes contest of different playing styles.";1981;92;"Comedies, International Movies";"Patrick Tse, Betty Ting Pei, Hua Yueh, Chin Siu Ho, Lau Hak-Suen, Kwan Hoi-san"
"Marlene Melchior";"Making Unorthodox";"Germany";"A look at the making of one of the first series to authentically portray and explore issues in a Hasidic community as they pertain to women's lives.";2020;21;"Documentaries, International Movies";NA
"Patricia Rozema";"Mansfield Park";"United Kingdom";"A poor heroine is sent to live with wealthy relatives in 1800s England, where her wit and writing talent find the room, and circumstance, to grow.";1999;112;"Comedies, Dramas, International Movies";"Frances O'Connor, Embeth Davidtz, Jonny Lee Miller, Alessandro Nivola, Harold Pinter, Lindsay Duncan, Sheila Gish, James Purefoy, Victoria Hamilton, Hugh Bonneville"
"Nandita Das";"Manto";"India";"The controversial and troubled Indo-Pakistani writer Saadat Hasan Manto finds his artistic choices challenged by censors.";2018;114;"Dramas, Independent Movies, International Movies";"Nawazuddin Siddiqui, Rasika Dugal, Tahir Raj Bhasin"
"Jessica Yu";"Maria Bamford: Old Baby";"United States";"Maria Bamford performs a rapid-fire, playful stand-up set for crowds at park benches, bowling alleys and LA theaters in this roving comedy special.";2017;64;"Stand-Up Comedy";"Maria Bamford"
"Deepika Narayan Bhardwaj";"Martyrs of Marriage";"India";"This documentary reveals the cracks in India's anti-dowry act and gives voice to both women and men who've been victimized by the law's abusers.";2016;83;"Documentaries, International Movies";NA
"Yuen Woo-ping";"Master Z: The Ip Man Legacy";"Hong Kong, China";"In this spin-off, a martial arts expert once defeated by Ip Man is forced to abandon his reclusive lifestyle to combat a rising Chinese triad.";2018;108;"Action & Adventure, International Movies";"Zhang Jin, Dave Bautista, Michelle Yeoh, Tony Jaa, Liu Yan, Kevin Cheng, Chrissie Chow, Xing Yu"
"Sudesh Manjrekar, Atul Kale";"Matichya Chuli";"India";"A jealous, possessive mother thinks she is competing with her new daughter-in-law for the affections of her overindulged son.";2006;132;"Comedies, Dramas, International Movies";"Sudhir Joshi, Vandana Gupte, Ankush Chaudhari, Madhura Velankar, Sanjay Mone, Anand Abhyankar"
"Melanie Mayron";"Mean Girls 2";"United States";"The father of a high school pariah offers to pay another student's way through college if she makes friends with his outcast daughter.";2011;98;"Comedies";"Meaghan Martin, Maiara Walsh, Jennifer Stone, Nicole Gale Anderson, Claire Holt, Diego Boneta, Linden Ashby, Rhoda Griffis, Mike Pniewski, Patrick Johnson, Tim Meadows"
"Mina Shum";"Meditation Park";"Canada";"An elderly immigrant matriarch from Hong Kong finally begins to break out of her shell of isolation when she suspects her husband of infidelity.";2017;94;"Dramas";"Cheng Pei-pei, Tzi Ma, Sandra Oh, Don McKellar, Zak Santiago, Liane Balaban, Alannah Ong, Lillian Lim, Jemmy Chen"
"Janet Tobias, Claus Wehlisch";"Memory Games";"Germany, United States, Sweden";"Glimpse into the brain's vast potential for memorization through the eyes of four competitive memory athletes as they share techniques and insights.";2018;86;"Documentaries";NA
"Toka McBaror";"Merry Men: The Real Yoruba Demons";"Nigeria";"Four of the richest bachelors in Abuja, Nigeria enjoy a life of fast cars, palatial homes and female attention while concealing their true activities.";2018;106;"Comedies, International Movies";"Ramsey Nouah, Jim Iyke, Ayo Makun, Falz, Richard Mofe-Damijo, Iretiola Doyle, Damilola Adegbite, Rosaline Meurer, Jide Kosoko, Ali Nuhu, Segun Arinze, Francis Duru"
"Fajar Bustomi, Pidi Baiq";"Milea";"Indonesia";"Years after his teen romance with Milea, a now-adult Dilan tells his version of their love story when a high school reunion brings them back together.";2020;100;"Dramas, International Movies, Romantic Movies";"Iqbaal Ramadhan, Vanesha Prescilla, Ira Wibowo, Bucek, Happy Salma, Farhan, Maudy Koesnaedi, Jerome Kurnia"
"Axelle Laffont";"MILF";"France, Belgium";"In the south of France, three best friends in their 40s navigate loss and heartbreak while embarking on steamy affairs with much younger men.";2018;102;"Comedies, International Movies, Romantic Movies";"Virginie Ledoyen, Marie-Josée Croze, Axelle Laffont, Matthias Dandois, Victor Meutelet, Waël Sersoub, Florence Thomassin"
"Lana Wilson";"Miss Americana";"United States";"In this revealing documentary, Taylor Swift embraces her role as a songwriter and performer — and as a woman harnessing the full power of her voice.";2020;85;"Documentaries, Music & Musicals";"Taylor Swift"
"Liv Ullmann";"Miss Julie";"Norway, United Kingdom, France, Ireland";"On a summer night in 1890 Ireland, the unsettled daughter of aristocrats coaxes her father's valet to seduce her, though he's engaged to their cook.";2014;130;"Dramas, International Movies";"Jessica Chastain, Colin Farrell, Samantha Morton, Nora McMenamy"
"Jennifer Siebel Newsom";"Miss Representation";"United States";"Explore how the mainstream media's often disparaging portrayals of women contribute to the under-representation of females in positions of leadership.";2011;90;"Documentaries";NA
"Barbara Kopple";"Miss Sharon Jones!";"United States";"This uplifting documentary follows R&B singer Sharon Jones's battle with pancreatic cancer while keeping her band intact for a return to the stage.";2015;94;"Documentaries, Music & Musicals";"Sharon Jones"
"Julia Hart";"Miss Stevens";"United States";"Emotionally vulnerable teacher Rachel accompanies three students to a weekend drama competition and forms an unexpected bond with troubled teen Billy.";2016;86;"Dramas, Independent Movies";"Lily Rabe, Timothée Chalamet, Lili Reinhart, Anthony Quintal, Oscar Nuñez, Rob Huebel"
"Anna Boden, Ryan Fleck";"Mississippi Grind";"United States";"A gambler mired in debt thinks another cardsharp may just be his good luck charm as the two head for New Orleans to buy into a high-stakes poker game.";2015;109;"Dramas, Independent Movies";"Ryan Reynolds, Ben Mendelsohn, Sienna Miller, Analeigh Tipton, Alfre Woodard, James Toback, Robin Weigert"
"Jami";"Moor";"Pakistan, United States";"A railway stationmaster tries to cope with his wife's death, his estrangement from his son and the corrupt world in which he lives.";2015;135;"Dramas, Independent Movies, International Movies";"Hameed Sheikh, Samiya Mumtaz, Shaz Khan, Abdul Qadir, Shabbir Rana, Sultan Hussain, Ayaz Samoo, Nayyar Ejaz, Sonia Hussain"
"Jennifer Peedom";"Mountain";"Australia";"Featuring breathtaking imagery and thought-provoking narration, this film takes viewers to the summits of some of the world’s most amazing mountains.";2017;74;"Action & Adventure, Documentaries, International Movies";NA
"Cristina Costantini, Kareem Tabsch";"Mucho Mucho Amor: The Legend of Walter Mercado";"United States";"Dazzling and tender-hearted, legendary astrologer Walter Mercado vanished at the peak of his fame. This documentary poignantly explains what happened.";2020;96;"Documentaries, LGBTQ Movies";"Walter Mercado"
"Yasmin Ahmad";"Mukhsin";"Malaysia";"When young Mukhsin arrives in a new town, 10-year-old tomboy Orked adopts him as her new best friend, and the two develop a touching friendship that begins to spill over into the inklings of first love.";2006;98;"Children & Family Movies, Comedies, Dramas";"Mohd Syafie Naswip, Sharifah Aryana, Sharifah Aleya, Adibah Noor, Irwan Iskandar, Sallehuddin Abu Bakar"
"Cathy Garcia-Molina";"My Amnesia Girl";"Philippines";"Years after leaving his bride-to-be at the altar, a man crosses paths with his ex and tries to make up for the past, only to find he's been forgotten.";2010;105;"International Movies, Romantic Movies";"John Lloyd Cruz, Toni Gonzaga, Carlos Agassi, Ketchup Eusebio, Joross Gamboa, JM de Guzman, Beatriz Saw, Nico Antonio"
"Sophie Robinson, Lotje Sodderland";"My Beautiful Broken Brain";"United Kingdom";"After suffering a stroke at age 34, a woman documents her struggles, setbacks and eventual breakthrough as she relearns to speak, read and write.";2016;84;"Documentaries, International Movies";"Sophie Robinson, Lotje Sodderland"
"Cathy Garcia-Molina";"My Ex & Whys";"Philippines";"Popular blogger Cali is hired for a marketing campaign alongside another viral sensation: her ex-boyfriend Gio, who's intent on winning her back.";2017;121;"Comedies, Dramas, International Movies";"Liza Soberano, Enrique Gil, Joey Marquez, Cai Cortez, Arlene Muchlach, Ara Mina, Ryan Bang, Joross Gamboa, Jeffrey Tam, Neils Coleta"
"Dani Levy";"My Fuhrer";"Germany";"Germany's most celebrated actor is commissioned by Nazi propagandist Joseph Goebbels to prepare the leader of the Third Reich to deliver a speech.";2007;91;"Comedies, International Movies";"Helge Schneider, Ulrich Mühe, Sylvester Groth, Adriana Altaras, Stefan Kurt, Ulrich Noethen, Lambert Hamel, Udo Kroschwald, Torsten Michaelis, Axel Werner"
"Nana Ekvtimishvili, Simon Gross";"My Happy Family";"Georgia, Germany, France";"A middle-aged wife and mother of two shocks her traditional, multigenerational Georgian household when she announces she's going to live by herself.";2017;119;"Dramas, Independent Movies, International Movies";"Ia Shugliashvili, Merab Ninidze, Berta Khapava, Tsisia Qumsishvili, Giorgi Khurtsilava, Giorgi Tabidze, Goven Cheishvili, Dimitri Oragvelidze, Mariam Bokeria"
"Ishi Rudell";"My Little Pony Equestria Girls: Forgotten Friendship";"United States, Canada";"School yearbook editor Sunset Shimmer has suddenly been erased from the memories of her best friends and must find out how to fix this.";2018;44;"Children & Family Movies";"Ashleigh Ball, Andrea Libman, Rebecca Shoichet, Tabitha St. Germain, Tara Strong, Nicole Oliver"
"Ishi Rudell, Jayson Thiessen";"My Little Pony Equestria Girls: Friendship Games";"United States, Canada";"Rainbow Dash, Applejack and friends compete against Crystal Prep Academy and their lead athlete, this world's Twilight Sparkle, in sporting events.";2015;72;"Children & Family Movies, Comedies";"Tara Strong, Rebecca Shoichet, Ashleigh Ball, Andrea Libman, Tabitha St. Germain, Cathy Weseluck, Iris Quinn, Nicole Oliver"
"Ishi Rudell";"My Little Pony Equestria Girls: Legend of Everfree";"United States, Canada";"The Equestria Girls, human teen counterparts to My Little Pony characters, head to Camp Everfree, where they need a little magic to help save summer.";2016;73;"Children & Family Movies, Comedies";"Tara Strong, Rebecca Shoichet, Ashleigh Ball, Andrea Libman, Tabitha St. Germain, Cathy Weseluck, Enid-Raye Adams, Brian Doe, Nicole Oliver"
"Ishi Rudell";"My Little Pony Equestria Girls: Rollercoaster of Friendship";"United States, Canada";"Rarity gets a summer job at Equestria Land, making Applejack feel jealous. But when their friends start vanishing, they must work together to find them.";2018;44;"Children & Family Movies";"Ashleigh Ball, Andrea Libman, Rebecca Shoichet, Tabitha St. Germain, Tara Strong, Tegan Moss"
"Pippa Ehrlich, James Reed";"My Octopus Teacher";"South Africa";"A filmmaker forges an unusual friendship with an octopus living in a South African kelp forest, learning as the animal shares the mysteries of her world.";2020;86;"Documentaries, International Movies";NA
"Meltem Bozoflu";"My Step Dad: The Hippie";"Turkey, South Korea";"When three adult siblings meet the offbeat man who their widowed mom fawns over, they take drastic actions to stop them from ever getting married.";2018;100;"Comedies, International Movies";"Onur Buldu, Mahir Ipek, Derya Karadas, Onur Attila, Meltem Yilmazkaya, Yasemin Conka, Burak Topaloglu, Sefik Taylan, Orkun Karagöz, Erdogan Aydin"
"Heidi Saman";"Namour";"United States";"Aimless valet driver Steven Bassem can't find the motivation to get a better job, even when his fractious immigrant family starts falling apart.";2016;80;"Dramas, Independent Movies";"Karim Saleh, Waleed Zuaiter, Nicole Haddad, Mona Hala, Wedad Abdel Aziz Abdou, Lavrenti Lopes, Jessica Lu, Amin El Gamal, Melina Lizette, Tom Lenk, Terry Walters"
"Kristin Hanggi";"Naomi and Ely's No Kiss List";"United States";"Naomi and her gay best friend, Ely, have been inseparable since childhood, but their bond faces its biggest test yet when they fall for the same guy.";2015;91;"Comedies, Dramas, LGBTQ Movies";"Victoria Justice, Pierson Fode, Matthew Daddario, Ryan Ward, Griffin Newman, Monique Coleman, Danny Flaherty"
"Natalia Valdebenito";"Natalia Valdebenito: Gritona";"United States";"Chile's Natalia Valdebenito hits Santiago's Teatro Caupolicán with a one-woman show steeped in irony, a dash of improv and her own personal style.";2017;76;"Stand-Up Comedy";"Natalia Valdebenito"
"Alina Teodorescu";"Natascha Kampusch: The Whole Story";"United States";"A Viennese child who was kidnapped and held captive in a basement before escaping after eight years reveals her headline-making story of survival.";2010;51;"Movies";NA
"Sonia Kennebeck";"National Bird";"United States";"Three former military operatives offer disturbing, firsthand accounts of the deadly impact that U.S. drone warfare has had on civilians overseas.";2016;92;"Documentaries";NA
"Kim A. Snyder";"Newtown";"United States";"This intimate portrait sheds light on the trauma experienced and strength displayed by those affected by the 2012 massacre in Newtown, Connecticut.";2016;84;"Documentaries";NA
"Faraday Okoro";"Nigerian Prince";"United States, Nigeria";"When a stubborn American teenager is sent to Nigeria by his mother, his cousin's scamming business becomes a viable option for securing a return flight.";2018;104;"Dramas, Independent Movies";"Antonio Bell, Chinaza Uche, Tina Mba, Bimbo Manuel, Toyin Oshinaike, Craig Stott, Ebbe Bassey, Cristabel Goddy, Omar Maskati, Russell G. Jones, Dean Cameron"
"Jordana Spiro";"Night Comes On";"United States";"A teen fresh out of juvenile detention tries to rescue her sister from foster care in order to exact revenge on their father for their mother's murder.";2018;87;"Dramas, Independent Movies";"Dominique Fishback, Tatum Marilyn Hall, Nastashia Fuller, Angel Bismark Curiel, John Earl Jelks, Max Casella, James McDaniel, Cymbal Byrd"
"Atsuko Ishizuka";"No Game No Life: Zero";"Japan";"In ancient Disboard, a young warrior befriends an ex machina and embarks on a harrowing mission to stop a global war and save humanity from extinction.";2017;106;"Action & Adventure, Anime Features, Sci-Fi & Fantasy";"Yoshitsugu Matsuoka, Ai Kayano, Yoko Hikasa, Yukari Tamura, Yuka Iguchi, Mamiko Noto, Miyuki Sawashiro, Rie Kugimiya, Toru Okawa, Kazuyuki Okitsu, Junichi Suwabe, Lynn, Yui Horie, Nanako Mori, Ryota Takeuchi"
"Vandana Kataria";"Noblemen";"India";"When he lands the lead in his Christian school's production of ""The Merchant of Venice,"" a secretly gay student is bullied by wealthy upperclassmen.";2019;109;"Dramas, Independent Movies, International Movies";"Ali Haji, Kunal Kapoor, Muskkaan Jaferi, Hardik Thakkar, Ali Mir, Shaan Grover, M.K. Raina, Ivan Rodrigues"
"Liz Plonka";"Norm Macdonald: Hitler's Dog, Gossip & Trickery";"United States";"In this new stand-up special, Norm Macdonald delivers sly, deadpan observations from an older – and perhaps even wiser – point of view.";2017;61;"Stand-Up Comedy";"Norm MacDonald"
"Heidi Ewing, Rachel Grady";"Norman Lear: Just Another Version of You";"United States";"This documentary turns the spotlight on the man behind the iconic ""All in the Family,"" with comments from friends, family and famous collaborators.";2016;91;"Documentaries";"Norman Lear, George Clooney, Bill Moyers, John Amos, Russell Simmons, Louise Lasser, Rob Reiner, Jon Stewart, Amy Poehler"
"Kiki Goshay, Jacqueline Monetta";"Not Alone";"United States";"An 18-year-old struggling to understand her best friend's suicide talks to teenagers who have grappled with mental illness and suicidal thoughts.";2017;50;"Documentaries";NA
"Giulia Clark";"NOVA: Chinese Chariot Revealed";"United States";"The chariot dominated Chinese warfare for millennia. Now, a team of experts is building their own and unlocking its many secrets.";2017;54;"Documentaries";"Eric Meyers"
"Sarah Holt";"NOVA: Day the Dinosaurs Died";"United States";"Drilling into the impact crater of the asteroid that wiped out the dinosaurs, a group of scientists unearths new evidence about the catastrophic event.";2017;53;"Documentaries";"Craig Sechler"
"Terri Randall";"NOVA: Death Dive to Saturn";"United States";"After decades of amazing discoveries, spacecraft Cassini embarks on its final – and most daring – mission: a dive below Saturn’s rings.";2017;54;"Documentaries";"Craig Sechler"
"Paula Apsell, Kirk Wolfinger";"NOVA: Holocaust Escape Tunnel";"United States";"At a former Nazi execution site in Lithuania, an international team of archaeologists searches for a lost escape tunnel dug by Jewish prisoners.";2017;54;"Documentaries";NA
"Gail Willumsen";"Nova: Ultimate Mars Challenge";"United States";"With access to the scientists and engineers responsible for the Curiosity rover's on-the-ground experiments, NOVA captures its landing on Mars.";2012;53;"Movies";"Lance Lewman"
"Lesli Linka Glatter";"Now and Then";"United States";"Waxing nostalgic about the bittersweet passage from childhood to puberty, four childhood girlfriends recall the magical summer of 1970.";1995;102;"Dramas";"Christina Ricci, Rosie O'Donnell, Thora Birch, Melanie Griffith, Gaby Hoffmann, Demi Moore, Ashleigh Aston Moore, Rita Wilson, Janeane Garofalo, Hank Azaria, Bonnie Hunt, Cloris Leachman"
"Dana Doron, Uriel Sinai";"Numbered";"Israel";"Guided by survivors' testimonies, this documentary explores the history and meaning of the numbers tattooed on the bodies of Auschwitz prisoners.";2012;55;"Documentaries, International Movies";NA
"Gillian Robespierre";"Obvious Child";"United States";"After being fired from her job and dumped by her cheating boyfriend, a comedian has a one-night stand. Weeks later, she finds out she's pregnant.";2014;84;"Comedies, Dramas, Independent Movies";"Jenny Slate, Jake Lacy, Gaby Hoffmann, Gabe Liedman, Polly Draper, Richard Kind, David Cross, Paul Briganti, Stephen Singer, Cindy Cheung, Jennifer Kim, Cyrus McQueen, Emily Tremaine, Ernest Mingione"
"Cristina Jacob";"Oh, Ramona!";"Romania";"Awkward 16-year-old Andrei is infatuated with his alluring but aloof schoolmate Ramona – until he meets stunning hotel clerk Anemona while on vacation.";2019;109;"Comedies, International Movies";"Bogdan Iancu, Aggy K. Adams, Holly Horne, Basil Eidenbenz, Melanie Ebanks, Leonardo Boudreau, Andromeda Godfrey"
"Petra Costa, Lea Glob";"Olmo & the Seagull";"Denmark, Brazil, France, Portugal, Sweden";"A pregnancy forces an actress out of her latest play and into a difficult confrontation with her own rapidly transforming reflection.";2014;82;"Dramas, Independent Movies, International Movies";"Olivia Corsini, Sergio Nicolai, Arman Saribekyan, Sylvain Jailloux, Francis Ressort, Pancho Garcia Aguirre, Shaghayegh Beheshti, Elena Bellei, Sébastien Brottet-Michel, Célia Catalifo"
"Ildiko Enyedi";"On Body and Soul";"Hungary";"Two shy and socially awkward co-workers in Budapest form a special bond through a mysterious mystic connection that manifests in a dream.";2017;116;"Dramas, International Movies, Romantic Movies";"Alexandra Borbély, Géza Morcsányi, Réka Tenki, Zoltán Schneider, Ervin Nagy, Itala Bekes, Éva Bata, Pál Mácsai, Zsuzsa Jaro, Nóra Rainer-Micsinyei"
"Kanwal Sethi";"Once Again";"India, Germany, Austria";"After a chance phone call leads to daily conversations, a widowed restaurant owner and a lonely film actor plan to finally meet in person.";2018;101;"Dramas, Independent Movies, International Movies";"Shefali Shah, Neeraj Kabi, Rasika Dugal, Bidita Bag, Priyanshu Painyuli, Bhagwan Tiwari"
"Devika Bhagat";"One by Two";"India";"The lives of a Mumbai man and woman who are both dealing with issues intersect through a TV dance show that she wants to win but he wants to sabotage.";2014;135;"Comedies, Dramas, International Movies";"Abhay Deol, Preeti Desai, Lillete Dubey, Rati Agnihotri, Jayant Kripalani, Darshan Jariwala, Anish Trivedi, Geetika Tyagi, Preetika Chawla, Tahir Raj Bhasin"
"Jasmine D'Souza";"One Night Stand";"India";"An obsession with a woman with whom he had a one-night stand brings disharmony into a man's life and destroys his peace of mind.";2016;93;"Dramas, International Movies, Music & Musicals";"Tanuj Virwani, Sunny Leone, Narendra Jetley, Aamir Ahmed, Kapil Punjabi, Madhurima Banerjee, Ninad Kamat, Geeta Bisht"
"Heidi Ewing, Rachel Grady";"One of Us";"United States";"In the wake of trauma and abuse, three Hasidic Jews face ostracism, anxiety and danger as they attempt to leave their ultra-Orthodox community.";2017;95;"Documentaries";NA
"Chia Tang";"Opium and the Kung Fu Master";"Hong Kong";"Leader of the Ten Kwangtung Tigers, Tieh Chiao-san works with his kung fu students to protect his village from crime. But when an opium dealer starts to ruin the town, Tieh Chiao-san struggles to fight back, thanks to his growing opium addiction.";1984;86;"Action & Adventure, International Movies";"Lung Ti, Te-Lo Mai, Leanne Liu, Kuan Tai Chen, Phillip Ko, Kuan-chung Ku, Kwok Kuen Chan, Hoi Sang Lee, Tau Wan Yue, Chia Tang, Shen Chan"
"Chanon Yingyong, Phuwanit Pholdee";"Oversize Cops";"Thailand";"While investigating a bank robbery, a squad of overweight police officers undergoes rigorous training to shed pounds.";2017;100;"Action & Adventure, Comedies, International Movies";"Sarun Cinsuvapala, Pramote Pathan, Suphachai Subprasert, Somyos Matures, Supavitch Nepremwattana, Nachjaree Horvejkul, Jatupone Chompoonich, Chertsak Pratumseesakhon"
"Mariana Tschudi, Héctor Gálvez";"Pacificum: Return to the Ocean";"Peru";"Four scientists offer a sweeping yet intimate exploration of Peru's majestic coastline by land, sea and air.";2017;74;"Documentaries, International Movies";NA
"Amber Tamblyn";"Paint It Black";"United States";"In the wake of a young artist’s suicide, his pianist mother and his despairing girlfriend square off in a living nightmare beset by guilt and blame.";2016;96;"Dramas";"Alia Shawkat, Janet McTeer, Rhys Wakefield, Alfred Molina, Emily Rios, Nancy Kwan, John Roberts, Annabelle Attanasio, Ken Davitian"
"Cosima Spender";"Palio";"United Kingdom";"In this documentary, a centuries-old horse race in the city of Siena, Italy, is the forum for a showdown between a young jockey and his former mentor.";2015;91;"Documentaries, International Movies, Sports Movies";NA
"Rana Eid";"Panoptic";"Lebanon";"This documentary dissects Lebanon's present-day paradoxes stemming from years of conflict as the director attempts to reconcile with her nation's past.";2017;69;"Documentaries, International Movies";"Rana Eid"
"Rebecca Addelman";"Paper Year";"Canada";"A young newlywed tries to keep her relationship afloat after developing feelings for her older, TV writer boss.";2018;89;"Dramas, Independent Movies, Romantic Movies";"Hamish Linklater, Eve Hewson, Avan Jogia, Andie MacDowell"
"Monique Gardenberg";"Paradise Lost";"Brazil";"A cop moonlights as the bodyguard for a young drag queen at a nightclub, and grows closer to the family of misfit singers that perform there.";2018;111;"Dramas, Independent Movies, International Movies";"Júlio Andrade, Lee Taylor, Hermila Guedes, Julia Konrad, Erasmo Carlos, Marjorie Estiano, Seu Jorge, Jaloo, Felipe Abib, Humberto Carrão, Malu Galli"
"Jennie Livingston";"Paris Is Burning";"United States";"This Sundance prize-winning documentary is an intimate portrait of 1980s Harlem drag balls: a world of fierce competition, sustenance, and survival.";1990;77;"Classic Movies, Cult Movies, Documentaries";NA
"Elisabeth Vogler";"Paris Is Us";"France";"Amid a turbulent romance and rising tensions in Paris, a young woman finds herself caught in a dizzying spiral of dreams, memories and what-ifs.";2019;84;"Dramas, Independent Movies, International Movies";"Noémie Schmidt, Grégoire Isvarine, Marie Mottet, Lou Castel, Mathias Minne, Margaux Bonin, Julia Kouakou, Alexandre Schreiber, Schemci Lauth, Theo Tagand, Clément Olivieri, Doria Achour"
"Kim Joo-hyung";"Park Na-rae: Glamour Warning";"South Korea";"Korea’s beloved comedian and favorite big sister figure talks sex, relationships and celebrity life. And she’s sassier and dirtier than ever before.";2019;63;"Stand-Up Comedy";"Park Na-rae"
"Mandie Fletcher";"PATRICK (2019)";"United Kingdom";"When a schoolteacher inherits an adorable pug, she has to find a way to take care of it while dealing with her flatlining love life.";2019;94;"Comedies";"Beattie Edmondson, Ed Skrein, Tom Bennett, Jennifer Saunders"
"Anusha Rizvi, Mahmood Farooqui";"Peepli Live";"India";"Two indigent farmers consider suicide so that their families can collect a government subsidy that's paid to the relatives of deceased farmers.";2010;109;"Comedies, Dramas, Independent Movies";"Omkar Das Manikpuri, Raghuvir Yadav, Malaika Shenoy, Nawazuddin Siddiqui, Naseeruddin Shah, Sitaram Panchal, Shalini Vatsa, Farrukh Jaffar, Aamir Bashir, Vishal Om Prakash"
"Dana Nachman, Don Hardy Jr.";"Pick of the Litter";"United States";"Five Labrador puppies embark on a 20-month training to pass the milestones on their journey to becoming guide dogs for people with visual impairment.";2018;81;"Children & Family Movies, Documentaries";NA
"Shazia Ali Khan";"Pinky Memsaab";"Pakistan, United Arab Emirates";"When a guileless young woman becomes the domestic worker in a wealthy Dubai household, her bond with her posh employer changes both of their lives.";2018;124;"Dramas, Independent Movies, International Movies";"Hajira Yamin, Kiran Malik, Adnan Jaffar, Sunny Hinduja, Khalid Ahmed, Shamim Hilaly, Hajrah Khan, Ahmed Ali Khan"
"Rebecca Zlotowski";"Planetarium";"France, Belgium";"In pre-World War II France, two sisters purport to be able to communicate with the dead and soon catch the eye of an ambitious filmmaker.";2016;108;"Dramas, International Movies";"Natalie Portman, Lily-Rose Depp, Emmanuel Salinger, Amira Casar, Pierre Salvadori, Louis Garrel"
"Nidhi Sharma";"Pooja Kiven Aa";"India";"When a woman arrives in Mumbai and hires three spirited boys to care for her estate, she discovers they're more trustworthy than her family members.";2013;122;"Comedies, International Movies, Music & Musicals";"Miss Pooja, Tarun Khanna, Raj Singh Jhinger, Sahil Vedoliyaa, B.N. Sharma, Manoj Joshi, Anita Shabdeesh, Sardar Sohi"
"Linda Korsten";"Pretville";"South Africa";"A farm boy and a greaser pluck at the heartstrings of their town's most beloved daughter while her mom faces old feelings when a pop star comes home.";2012;95;"Comedies, International Movies, Music & Musicals";"Marlee van der Merwe, Eugene Jensen, Marno van der Merwe, Lizelle de Klerk, Steve Hofmeyr, Sanet Ackermann, Terence Bridgett, Annette Engelbrecht, Rina Nienaber, Lizz Meiring"
"Tamara Jenkins";"Private Life";"United States";"Struggling to conceive, a couple in their 40s are almost out of options – until a sliver of hope arrives in the form of their visiting step-niece.";2018;124;"Comedies, Dramas, Independent Movies";"Paul Giamatti, Kathryn Hahn, Kayli Carter, Molly Shannon, John Carroll Lynch, Denis O'Hare, Desmin Borges, Tracee Chimo, Siobhan Fallon Hogan, Emily Robinson"
"Kanika Batra";"Project Papa";"India";"When a busy entrepreneur pauses her career to spend time with her aging father, both learn valuable lessons on happiness, love and living in the moment.";2018;92;"Dramas, Independent Movies, International Movies";"Rakesh Batra, Kanika Batra, Sneha Kapoor, Rohn Malhotra, Munira Sen, Anaitha Nair, Rajit Kapoor"
"Luv Ranjan";"Pyaar Ka Punchnama";"India";"Matters of the heart introduce chaos into the once-idyllic bachelor existence of three young men who share an apartment.";2011;149;"Comedies, Dramas, International Movies";"Kartik Aaryan, Divyendu Sharma, Raayo S. Bakhirta, Nushrat Bharucha, Sonalli Sehgall, Ishita Raj"
